 0.8, 0.701, -0.0773892
 0.8, 0.801, -0.1024006
 0.8, 0.901, -0.0998489
 0.8, 1.001, -0.1539127
 0.8, 1.101, -0.0943933
 0.8, 1.201, -0.1434581
 0.8, 1.301, -0.2103901
 0.8, 1.401, -0.1334849
 0.8, 1.501, -0.1294785
 0.8, 1.601, -0.1410116
 0.8, 1.701, -0.2019382
 0.8, 1.801, -0.201111
 0.8, 1.901, -0.2376742
 0.9, 0.001, -0.0416287
 0.9, 0.101, -0.0588128
 0.9, 0.201, -0.0652891
 0.9, 0.301, -0.0815981
 0.9, 0.401, -0.0757262
 0.9, 0.501, -0.0882727
 0.9, 0.601, -0.0929422
 0.9, 0.701, -0.0939027
 0.9, 0.801, -0.0906126
 0.9, 0.901, -0.0898447
 0.9, 1.001, -0.1328981
 0.9, 1.101, -0.1208256
 0.9, 1.201, -0.1412138
 0.9, 1.301, -0.1444739
 0.9, 1.401, -0.1499283
 0.9, 1.501, -0.1829144
 0.9, 1.601, -0.1677511
 0.9, 1.701, -0.1755438
 0.9, 1.801, -0.1415212
 0.9, 1.901, -0.1983523
 1, 0.001, -0.0413029
 1, 0.101, -0.0543157
 1, 0.201, -0.0594769
 1, 0.301, -0.0741175
 1, 0.401, -0.0742799
 1, 0.501, -0.0920265
 1, 0.601, -0.1077304
 1, 0.701, -0.0840939
 1, 0.801, -0.0838192
 1, 0.901, -0.094015
 1, 1.001, -0.1152207
 1, 1.101, -0.0947578
 1, 1.201, -0.1705151
 1, 1.301, -0.1323305
 1, 1.401, -0.1348678
 1, 1.501, -0.1650873
 1, 1.601, -0.1801133
 1, 1.701, -0.1573955
 1, 1.801, -0.1766878
 1, 1.901, -0.2389371
